,CV,Roles,Other Roles
18,Gotō Saori,Whisperain,"Meldy, Plue (Fairy Tail), Barasuishou (Rozen Maiden), Moeka Kiryu (Steins;Gate), Ai Kaga (Sayonara, Zetsubou-Sensei), Elise Schwarzer (The Legend of Heroes: Trails of Cold Steel), Mirai (Senran Kagura), Chitose Karasuma (Galaxy Angel)"
19,Hanamori Yumiri,Ifrit,"Shizue Izawa (That Time I Got Reincarnated as a Slime), Hinaki Ubuyashiki (Demon Slayer: Kimetsu no Yaiba), Nadeshiko Kagamihara (Laid-Back Camp), Ai Hayasaka (Kaguya-sama wa Kokurasetai), Fleur (Dragalia Lost), Tanya (Fire Emblem: Heroes), Risette, Pino (Granblue Fantasy), Kon (Kemono Jihen), Lapis (Grand Chase for Kakao), Lean (Konosuba), Shin Sato (The Idolmaster Cinderella Girls), Zero (Grimoire of Zero), Nemo (Fate Grand Order), Umemoto Sachiko (Diamond no Ace), Yanfei (Genshin Impact), Sorawo Kamikoshi (Urasekai Picnic), Mercedes von Martritz (Fire Emblem: Three Houses)"
20,Hanazawa Kana,"Blemishine, Luo Xiaohei","Mato Kuroi (Black Rock Shooter), Kosaki Onodera (Nisekoi), Zeta (Granblue Fantasy), Sophie (Tales of Graces), Marie (Persona 4 Golden), Maribelle (Dragalia Lost), Akane Tsunemori (Psycho Pass), Lucy Maud Montgomery (Bungou Stray Dogs), Anne (Sin Chronicle), Alice Kuonji (Mahoutsukai no Yoru), Lady Inari (Kemono Jihen), Rinoa Heartily (Final Fantasy VIII), Lilith (Brave Frontier ReXona), Ran (Urusei Yatsura (2022)), Folka (Final Fantasy Brave Exvius), Deuce (Final Fantasy Type-0), Ayaka Sajyou (Fate Prototype & Fate strange/fake), Red Blood Cell AE3803 (Hataraku Saibou), Ichika Nakano (The Quintessential Quintuplets), Mitsuri Kanroji (Demon Slayer: Kimetsu no Yaiba), Chiaki Nanami (Super Danganronpa 2), Mayuri Shiina (Steins;Gate), Mary Kozakura (Mekakucity Actors), Fran (Wandering Witch: The Journey of Elaina)"
21,Hara Yūko,"Beehunter, Indra, Melantha","Young Griamore (Seven Deadly Sins), Akari Acura (Chaika the Coffin Princess), Tsuchiya (Mob Psycho 100)"
22,Harumura Nana,"Beagle, Shirayuki",
23,Haruno Anzu,Kirara,"Mafuyu Hoshikawa (Blend S), Mio Yamagishi (Fruits Basket 2019), Ramiris (That Time I Got Reincarnated as a Slime)"
24,Hatano Wataru,Chiave,"Gajeel Redfox (Fairy Tail), Brad Beams (Helios Rising Heroes), Shamrock (Servamp), Randall, Owen (Granblue Fantasy), Felt Blanchimont (Atelier Iris II: The Azoth of Destiny), Julius Belkisk Harway (Fate EXTRA), Georgi Popovich (Yuri On Ice), Rei (Last Cloudia), Orlando Reeve (Fate strange/fake), Roberto (Onimusha: Dawn of Dreams), Yuto Ayase (Nogizaka Haruka no Himitsu), Ritsu Kasanoda (Ouran High School Host Club), Hidetomo Kajomaru (Bleach: Thousand Year Blood War), Ficus Finis (Atelier Lulua), Kaiji Motojiro (Bungou Stray Dogs), Jiro (Kamisama Kiss), Gaku Yaotome (IDOLISH7), Adonis Otogari (Ensemble Stars), Hikaru Matsuyama (Captain Tsubasa)"
25,Hayami Saori,Pramanix,"Shinobu Kocho (Demon Slayer: Kimetsu no Yaiba), Himawari Uzumaki (Boruto), Yor Forger (Spy × Family), Meltilith, Atlanta, Ushiwakamaru, Taira no Kagekiyo, Martha (Fate series), Kokoro (Darling in the FranXX), Shirayuki (Akagami no Shirayukihime), Kagura Mikazuchi (Fairy Tail), Ryu Lion (Danmachi), Azazel Amelie (Welcome to Demon School! Iruma-kun), Oyuki (Urusei Yatsura (2022)), Viktoriya Ivanovna ""Visha"" Serebryakov (Youjo Senki), Fubuki/Hell Blizzard (One Punch Man), Saki Morimi (Eden of the East), Shoko Nishimiya (Koe no Katachi), Macy Baljure (Burn The Witch), Fan la Lorne, Lora (Xenoblade Chronicles 2), Kunimitsu (Tekken 7), Tao Isonokami (Shin Megami Tensei V), Caeda (Tokyo Mirage Sessions #FE & Fire Emblem Heroes), Serafina (Legend of Mana: The Teardrop Crystal), Yumeko Jabami (Kakegurui), Leia Rolando (Tales of Xillia & Xillia 2), Kaede Takagaki (The Idolmaster Cinderella Girls), Arciela V Adoulin (Final Fantasy XI), Emma Millstein (The Legend of Heroes: Trails of Cold Steel series), Miyuki Shiba (The Irregular at Magic High School), Ayase Aragaki (OreImo), Ayaka Kamisato (Genshin Impact), Ruby Rose (RWBY)"
26,Hayami Shō,Hellagur,"Tokiomi Tohsaka (Fate/Zero), Sousuke Aizen (Bleach), Arvis (Fire Emblem Heroes), Tristan Turnbull (Phoenix Wright: Ace Attorney), Odin (Record of Ragnarok), Vanilla Ice (JoJo's Bizarre Adventure: Stardust Crusaders), Sairei no Hebi/Snake of Festival (Shakugan no Shana), Charden Flamberg (Black Cat), Ginji Sasaki (Persona 2), Jie Revorse (Star Ocean: The First Departure), Maximillian Jenius (Super Dimension Fortress Macross), Melvin (Odin Sphere), Ichiya Wanderley Kotobuki (Fairy Tail), Ark (Kamen Rider Zero One), Cid (Final Fantasy Brave Exvius), Jhin (League of Legends), Aurien, Heinwald, Nyarlathotep (Dragalia Lost), Shiva (Granblue Fantasy), Garr Kelvin (Tales of Destiny), Gakuho Asano (Assassination Classroom), Jakurai Jinguji (Hypnosis Mic: Division Rap Battle), Reiji Ishioda (Yakuza: Like A Dragon)"
27,Hikasa Yōko,Kal'tsit,"Kyoko Kirigiri (Danganronpa), Mio Akiyama (K-On!), Anne, Selfira (Granblue Fantasy), Charlotte (Final Fantasy Brave Exvius), Yoh Asakura (Shaman King), Horn Skuld (Owari no Seraph), Veronica de Sade (The Case Study of Vanitas), Irene Adler/James Bond (Moriarty the PAtriot), Emi Yusa/Emilia Justina (Hataraku Maou-sama), Satan (Umineko no Naku Koro ni), Juliet Starling (Lollipop Chainsaw), Ivy (Fire Emblem Engage), Refia (Final Fantasy III), Ivy (Fire Emblem Engage), Kuon Ichinose (Persona 5 Strikers), Alyssa Zaidelle (Final Fantasy XIII-2), Celliera (Dragalia Lost), Malkya Trathen (Star Ocean: The Divine Force), Suzuka Gozen (Onmyouji), Rias Gremory (High School DxD), Diana Cavendish (Little Witch Academia), Judith Ranster (Legend of Heroes: Kuro no Kiseki), Kijyo Koyo (Fate Grand Order), Tomoe Udagawa (BanG Dream!), Sheila (Wandering Witch: The Journey of Elaina), Maria Cadenzavna Eve (Senki Zesshou Symphogear), Weiss Schnee (RWBY)"
