,CV,Roles,Other Roles
48,Ishikawa Yui,"Liskarm, Nightingale","Violet Evergarden (Violet Evergarden), Mikasa Ackerman (Attack on Titan), Morgan (Fate Grand Order), Sei Takanashi (The Saint's Magic Power is Omnipotent), Lucia, Alpha (Punishing: Gray Raven), Risette Twinning (Legend of Heroes: Kuro no Kiseki), Apollon, Sabina (Gran Saga), Misella (Tales of Crestoria), Moonlight Cookie (Cookie Run: Kingdom), Female Trailblazer (Honkai: Star Rail), Meryl (Tower of Fantasy), Rosamia (Granblue Fantasy), Black Rock Shooter (Black Rock Shooter: Dawn Fall), Isuka (Another Eden), Regina (Dragalia Lost), Female Hakuno Kishinami (Fate/Extella series), USS Enterprise (Azur Lane), Olivia (Lord of Heroes), Hinaki Shinjou (Aikatsu!), Gager/Fedorov (Girls' Frontline), 2B (Nier: Automata)"
49,Itō Ayasa,Beanstalk,"Arisa Ichigaya (BanG Dream!), Kaoruko Hanayagi (Shoujo Kageki Revue Starlight), IJN Kazagumo (Azur Lane), Habetrot (Fate Grand Order), Juli Rosenheim (Valiant Knights)"
50,Itō Shizuka,Schwarz,"Luviagelita Edelfelt (Fate series), Sutera, Korwa (Granblue Fantasy), Astraea (Fate Grand Order), Vicar Amelia (Bloodborne), Kafka (Honkai: Star Rail), Avril Vant Fleur (Wild Arms V), Kaori Kanzaki (Toaru Majutsu no Index), Himawari Kunogi (xxxHOLIC), Byleth (female) (Fire Emblem: Three Houses), Yotsuyu (Final Fantasy XIV), Arcee (Transformers: Prime), Irina Jelavic (Assassination Classroom), Widowmaker (Overwatch), Innes Lorenz (Tales of Hearts), Akeno Himejima (High School DxD)"
51,Iwami Manaka,"Exusiai, Warfarin","Ingrid Brandl Galatea (Fire Emblem: Three Houses), Chiaki Hoshinomori (Gamers!), Huyan Zhuo (Fate/Grand Order), Satyr (Granblue Fantasy), Samael (Gran Saga), Rice Shower (Uma Musume Pretty Derby), Millie (Spy x Family), Pia (Dragalia Lost), Nadia Rayne (Legend of Heroes: Hajimari no Kiseki and Kuro no Kiseki), Tohru Honda (Fruits Basket 2019), Maquia (Maquia: When The Promised Flower Blooms), Amber (Genshin Impact), Bridget (Guilty Gear Strive)"
52,Kageyama Akari,"Durin, Provence","Beatrice (Princess Principal), Nana Ebina (Himouto! Umaru-chan)"
53,Kaida Yūko,Leizi,"Aiho Yomikawa (To Aru Kagaku no Railgun), Sumire Moroto (Black Bullet), Tsubomi Kido (Mekakucity Actors), Vivaldi (Heart no Kuni no Alice), Caitlyn (Arcane & League of Legend), Claire Redfield (Resident Evil 2 (2019)), Sylvia Sherwood (Spy x Family), Sae Niijima (Persona 5), Boss (AI: The Somnium Files), Isabella (The Promised Neverland), Zaira (Lord of Heroes), Freesia von Bismark (Granblue Fantasy), DP-12, AK-15 (Girls' Frontline), KMS Mainz (Azur Lane)"
54,Kaji Yūki,Ayerscarpe,"Eren Jaeger (Attack on Titan), Shoto Todoroki (My Hero Academia), Hope Estheim (Final Fantasy XIII), Alibaba (Magi), Speed-o-Sound Sonic (One Punch Man), Takumi (Fire Emblem Fates), Sleepy Ash (Servamp), Mao Isara (Ensemble Stars), Finnian (Black Butler), Zen (Persona Q: Shadow of the Labyrinth), Adol Christin (Ys VIII and IX), Veight, White Knight (Granblue Fantasy), Norwin, Rawn (Dragalia Lost), Luke Pearce/Natsuhiko Minase/Kang Hyuk/Xia Yan (Tears of Themis), Lass (Gran Saga), Nifuuji Naoya (Wotakoi), Kozume Kenma (Haikyuu), Sabito (Kimetsu no Yaiba), Phoenix Wright (Ace Attorney), Ace (Final Fantasy Type-0), Koichi Hirose (Jojo's Bizarre Adventure: Diamond is Unbreakable), Johnny Joestar (Jojo's Bizarre Adventure All Star Battle and Eyes of Heaven), Meliodas, Zeldris (The Seven Deadly Sins), Issei Hyodo (High School DxD)"
55,Kakazu Yumi,Harmonie,"Nanaly Fletch (Tales of Destiny 2), Shizuka Minamoto (Doraemon), Kejoro (Nurarihyon no Mago), Hisui (Tsukihime (anime)), Mint Aizawa (Tokyo Mew Mew), Yuffie Kisaragi (Final Fantasy VII , Kingdom Hearts series, Dissidia Opera Omnia), Jasmine (Pokemon), Renais Cardiff Shishio (The King of Braves GaoGaiGar), Daji (Hoshin Engi), Aya Mikage (Ayashi no Ceres), Anzu Mazaki (Yu-Gi-Oh), Charlotte Aulin (Castlevania: Portrait of Ruin), Magical Sapphire (Fate Grand Order), Kula Diamond, Lilly Kane (King of Fighter series), Ethlyn (Fire Emblem Heroes)"
56,Kakuma Ai,"Franka, Frostleaf","Makomo (Demon Slayer: Kimetsu no Yaiba), Rossweisse (High School DxD), Momo Kisaragi (Mekakucity Actors), Edelgard von Hresvelg (Fire Emblem: Three Houses & Three Hopes & Heroes), Isuzu Sento (Amagi Brilliant Park), Machi Kuragi (Fruits Basket (2019)), Lenalee Lee (D-Gray Man (2016)), Setsuna (I Am Setsuna), Selphiris, Chiria (Gran Saga), Kiichi Hogen (Fate Grand Order), Tiramisu (Another Eden), Lucretia (Dragalia Lost), Frey (King's Raid), Cidala (Granblue Fantasy), Airmid Teasanare (Danmachi), Angel (Konosuba), Fran (Reincarnated as a Sword), Rosaria (Genshin Impact)"
57,Kamegai Ayako,Roberta,
58,Kaneko Mayumi,Ansel,
59,Kanemoto Hisako,Ptilopsis,"Ika Musume (Shinryaku! Ika Musume), Ginko Sora (Ryuo no Oshigoto), Ami Mizuno (Sailor Moon Crystal), Eiko Carrol (Final Fantasy IX), Djeeta (Granblue Fantasy), Fleauesse (Shadowverse), Fie Claussell (The Legend of Heroes: Trails of Cold Steel), Erina Nakiri (Shokugeki no Souma), Tsugumi Hazawa (BanG Dream!), Livie Collete (God Eater 2 Rage Burst), Nilou (Genshin Impact)"
60,Kawahara Motoyuki,Stormeye,"Kazuomi Hirasawa (Eden of the East), Kakeru Inaba (Super Robot Wars NEO)"
61,Kawanishi Kengo,"Noir Corne, Adnachiel","Rei Kiriyama (March comes in like a Lion), Scandinavia Peperoncino and Taisui Xingjun [Adult Form] (Fate Grand Order), Roi (King's Raid), Muichiro Tokito (Kimetsu no Yaiba), Siegbert (Fire Emblem Fates), Dunarith (Another Eden), Abe no Seimei (Nioh 2), Cyrill (Fire Emblem: Three Houses), Diebold Lewerens (Atelier Sophie 2), Benvolio (Granblue Fantasy), Tearer (AI: The Somnium Files - Nirvana Initiative), Gen Asagiri (Dr. Stone), Mikazuki Augus (Mobile Suit Gundam: Iron-Blooded Orphans), Sogiita Gunha (A Certain Magical Index)"
62,Kawasumi Ayako,Siege,"Henrietta de Tristain (The Familiar of Zero), Artoria ""Saber"" Pendragon, Fou, Merlin (Prototype) (Fate series), Kazumi Yoshida (Shakugan no Shana), Athena, Lecia (Granblue Fantasy), Noda Megumi (Nodame Cantabile), Riveria Ljos Alf (Danmachi), Izumi Nase (Beyond the Boundary), Yulie Athreide (Wild Arms IV), Alice (Pandora Hearts), Bianca (Punishing: Gray Raven), Malora, Eleonora (Dragalia Lost), Elie (Rave Master), Angie Thompson (Trauma Center), Ulrika Mayberg (Mana Khemia 2: Fall of Alchemy), Isolde Scheling (Mana Khemia: Alchemist of Al Revis), Lenna (Final Fantasy V), Laura Stuart (To Aru Majutsu no Index), Erina Pendleton (Jojo's Bizarre Adventure), Atoli (.hack G.U), Naori Imeris (Tales of Arise), Silmeria (Valkyrie Profile 2: Silmeria), Beretta (That Time I Got Reincarnated as a Slime), Gwendolyn (Odin Sphere), Grune, Schwartz (Tales of Legendia), Shenhe (Genshin Impact)"
63,Kishio Daisuke,Corroserum,"Loki, Scorpio (Fairy Tail), Hanzo (Hunter x Hunter), Jet The Hawk (Sonic Riders series), Kaname Kuran (Vampire Knight), Kurama (Kamisama Kiss), Nezha, Will (Granblue Fantasy), Roxis Rozenkranz (Mana Khemia: Alchemist of Al Revis), Noel Kreiss (Final Fantasy XIII-2), Rokurou Rangetsu (Tales of Berseria), Edge Maverick (Star Ocean: The Last Hope), Etzali, Unabara Mitsuki (To Aru Majutsu no Index), Tsukune Aono (Rosario + Vampire), Steely Dan (JoJo's Bizarre Adventure: Stardust Crusaders), Quillfire (Transformers: Robots In Disguise), Fuyuhiko Kuzuryuu (Super Danganronpa 2), Crys (Xenoblade Chronicles 3), Cabba (Dragon Ball Super)"
64,Kitajima Mizuki,Platinum,
65,Kitamura Eri,"Beeswax, Carnelian","Miki Sayaka (Puella Magi Madoka Magica), Papalymo Totolymo (Final Fantasy XIV), Karen Araragi (Monogatari series), Saya Otonashi (Blood+), Juri (Street Fighter series), Cerberus (Granblue Fantasy & Dragalia Lost), Grace (Dragalia Lost), Cana Alberona, Aquarius (Fairy Tail), Keqing (Genshin Impact), Uni (Neptunia series), Vee, Willow, Ksenia (Neural Cloud)"
66,Kitō Akari,Silence,"Barbara Pegg (Genshin Impact), Siluca Meletes (Grancrest Senki), Kotoko Iwanaga (In/Spectre), Tsukasa Yuzaki (Tonikaku Kawaii), Valkyrie (Valkyrie Elysium), Seiun Sky (Uma Musume Pretty Derby), Nezuko Kamado (Demon Slayer: Kimetsu no Yaiba), Illnott (Granblue Fantasy), Seriad (Gran Saga), Erice Utsumi (Fate Requiem & Fate Grand Order), Rola (Shadowverse), Aiba (AI: The Somnium Files), Kaho Hinata (Blend S), Kanata Konoe (Love Live! Nijigasaki High School Idol Club), Sakura Adachi (Adachi to Shimamura)"
67,Kobayashi Chikahiro,Totter,"Ranga (That Time I Got Reincarnated into A Slime), Tristan (Gran Saga), Kaito Sumeragi (Scarlet Nexus), Sugimoto Saichi (Golden Kamuy), Legoshi (Beastars), Lang Rangler (JoJo's Bizarre Adventure: Stone Ocean), Von Lycaon (Zenless Zone Zero), Male V (Cyberpunk 2077), Rikuo Uozumi (Sing Yesterday For Me), Tatsuya Fukuda (Aoashi), Bruno Bangnyfe (Burn The Witch), Marcus Pietras (Therma Romae Novae), Goto Saiki (Tsukihime (2021))"
68,Kobayashi Sanae,Saga,"Lucy (Elfen Lied), Asuka Tenjoin/Alexis Rhodes (Yu-Gi-Oh! GX), Allen Walker (D.Gray-Man), Pai (.hack), Akira Toya (Hikaru no Go), Crysta Snowpigeon (Heart no Kuni no Alice), Young Aglovale (Granblue Fantasy), Cecillia Adlehyde (Wild Arms Alter Code F), Ahri (League of Legends), Natsumi Raimon (Inazuma Eleven), Tighnari (Genshin Impact)"
69,Kobayashi Yū,Waai Fu,"Lucina (Fire Emblem), Mahiru Koizumi (Super Danganronpa 2), Valdi (Xenoblade Chronicles 3), Run Ru (Fate Extra), Zoe Baker (Resident Evil 7), Silvia (To Aru Majutsu no Index), Athena (Gran Saga), Enkidu (Fate Grand Order), Vi (Arcane & League of Legends), Testament (Guilty Gear Strive), Therese (Granblue Fantasy), Ruri Tsukiyono (Digimon Ghost Game), Katsuragi (Senran Kagura), Dan Kouzo (Bakugan), Setsuna Sakurazaki (Mahou Sensei Negima), Sasha Blouse (Attack on Titan), Ayame Sarutobi (Gintama)"
70,Kobayashi Yūsuke,Lumen,"Subaru Natsuki (Re:ZERO), Senku Ishigami (Dr.Stone), Zato, Baldor (Gran Saga), Majic Lin (Sorcerous Stabber Orphen), Kou, The Hanged Man (Granblue Fantasy), Yuri Drewes (The Saint Magic Power is Omnipotent), Caules Forvedge (Fate series), Dino (That Time I Got Reincarnated as a Slime), Lasswell (Final Fantasy Brave Exvius), Werewolf Cookie (Cookie Run: Kingdom), Soujurou Shizuki (Mahoutsukai no Yoru), Byleth (male) (Fire Emblem: Three Houses), Arthur Boyle (Fire Force)"
71,Kohara Riko,Mulberry,"Rokka ""LOCK"" Asahi (BanG Dream!), Gekkou (Senran Kagura), Misa Aoi (Kandagawa Jet Girls)"
72,Kondō Reina,Folinic,"Hiori Kazano (THE IDOLM@STER Shiny Colors), Aru Rikuhachima (Blue Archive), Sakura Kono (Horimiya), Trung Trac (Fate Grand Order), Enoki Yukigaya (Tribe Nine), Anzu Iyojima (Yuki Yuna is a Hero: A Sparkling Flower), IJN Kashino (Azur Lane), Athena Pierce (MapleStory), Nagomi Wahira (Akiba Maid War)"
73,Konishi Katsuyuki,SilverAsh,"Diavolo/King Crimson (Jojo's Bizarre Adventure: Golden Wind), Amidamaru (Shaman King), Tom Tanaka (Durarara! series), Tsumugu Kinagase (Kill la Kill), Kotaro Amon (Tokyo Ghoul), Kamina (Tengen Toppa Gurren Lagann), Asura (Onmyouji), Blood Dupre (Heart no Kuni no Alice), Alfred (Bloodborne), Olberic Eisenberg (Octopath Traveler), Shori Shibuya (Kyo Kara Maoh), Beelzebub (Granblue Fantasy), Hien (Final Fantasy XIV), Ranzal, Luther (Dragalia Lost), Lloyd Irving (Tales of Symphonia), Poseidon (Gran Saga), Guy Bannings (Legend of Heroes: Ao no Kiseki and Zero no Kiseki), America, Canada (Hetalia), Tanktop Master (One Punch Man), Komui Lee (D.Gray-man), Tatsumi Oga (Beelzebub), Tengen Uzui (Demon Slayer: Kimetsu no Yaiba), Dreyfus (Seven Deadly Sins), Maxima (The King of Fighters series), Hubert von Vestra (Fire Emblem: Three Houses), Laxus Dreyar (Fairy Tail)"
74,Kondō Takashi,Executor,"Suigetsu, Shin Uchiha, Indra (Naruto), Train Heartnet (Black Cat), Hibiki Lates (Fairy Tail), Terry Bogard (The King of Fighters), Ludger Will Kresnik (Tales of Xillia 2), Faust, Potemkin (Guilty Gear), Kogitsunemaru (Touken Ranbu), Leopold Scorpus (Scrapped Princess), Lass (Grand Chase), Nehan (Granblue Fantasy), Kyouya Hibari/Alaude/Fon (Katekyo Hitman REBORN!)"
75,Koshimizu Ami,"Projekt Red, Zima","Ibuki Mioda (Super Danganronpa 2), Kallen Kozuki (Code Geass), Caren C Ortensia (Fate series), Queen (Final Fantasy Type-0), Holo (Spice & Wolf), Inferni, Zeus (Gran Saga), Makoto Kino/Sailor Jupiter (Sailor Moon Crystal), Luca Trulyworth (Ar Tonelico 2: Melody of Metafalica), Sofia (Punishing: Gray Raven), Alexandria (Xenoblade Chronicles 3), Shizuri Mugino (To Aru Majutsu no Index), Timerra (Fire Emblem Engage), Zoeey (Granblue Fantasy), Holo (Spice & Wolf), Foran (Another Eden), Eleanor Hume (Tales of Berseria), Musse Egret/Claire Rieveldt (The Legend of Heroes: Trails of Cold Steel), Ryuko Matoi (Kill la Kill), Alexandria (Xenoblade Chronicles 3), Sirius (My Hero Academia), Spider Demon Mother (Demon Slayer: Kimetsu no Yaiba), Yukiko Amagi (Persona 4), Beidou (Genshin Impact), Centaureissi (Neural Cloud), Mai Shiranui (from The King of Fighters: Sky Stage onwards), Young Rock Howard (The King of Fighters: Destiny), Yang Xiaolong (RWBY), Milady (Soul Hackers 2)"
76,Kouno Marika,La Pluma,"Silence Suzuka (Uma Musume: Pretty Derby), Petra Leyte (Re:Zero), Enyo (Granblue Fantasy), Ako Amau (Blue Archive), Consul/Moebius X (Xenoblade Chronicles 3), Tsugumi Nazar (Scarlet Nexus), Fairy Knight Lancelot/Melusine (Fate/Grand Order), Nina (Beast Tamer)"
77,Koyama Rikiya,Młynar,"Kiritsugu Emiya (Fate series), Soriz (Granblue Fantasy), Kogoro Mouri (Detective Conan), Yamato (Naruto Shippuden), Markus Vaughn (Trauma Center: New Blood), Coyote Starrk (Bleach), Duke Pantarei (Tales of Vesperia), Abe no Seimei (Nurarihyon no Mago), Yukichi Fukuzawa (Bungou Stray Dogs), Joichiro Yukihira (Shokugeki no Soma), Dagruel (That Time I Got Reincarnated as a Slime), Shinjuro Rengoku (Kimetsu no Yaiba), Bertrand (Another Eden), Taiga Saejima (Yakuza/Ryu ga Gotoku series), Gabriel (Star Ocean: The Second Evolution), Basch fon Ronsenburg (Final Fantasy XII), Cid Garlond (Final Fantasy XIV), Ignis Ex (Promare)"
78,Kubo Yurika,Croissant,"Loki (Danmachi), Kikyo Kushida (Classroom of the Elite), Cocoa Cookie (Cookie Run: Kingdom), Kaede Azusagawa (Rascal Does Not Dream of Bunny Girl Senpai), Hanayo Koizumi (Love Live!)"
79,Kubota Risa,Lunacub,"Rosetta (Lapis Re:Lights), Iu Shindo (I'm Standing On A Million Lives), Roko Sekino (Dropout Idol Fruit Tart), Amame Doi (AI: The Somnium Files - Nirvana Initiative)"
80,Kugimiya Rie,Irene,"Shana (Shakugan no Shana), Louise Françoise Le Blanc de La Vallière (The Familiar of Zero), Aria Holmes Kanzaki (Aria the Scarlet Ammo), Vyrn, Twin Elements, Vania, Afaka (Granblue Fantasy), Unknown God (Genshin Impact), Vania (Dragalia Lost), Marta Lualdi (Tales of Symphonia), Alice Liddell (Heart no Kuni no Alice (film)), Alphonse Elric (Fullmetal Alchemist Brotherhood), Karin Kurosaki, Nemu Kurotsuchi (Bleach), Hotaru Imai (Gakuen Alice), Rise Kujikawa (Persona 4), Little Princess/Future Princess (Guardian Tales), Cleopatra, Oda Nobunaga (Fate Grand Order), Palom & Porom (Final Fantasy IV), Annie (League of Legends), Nagi Sanzenin (Hayate no Gotoku), KeA Bannings (The Legend of Heroes: Trails from Zero and Trails to Azure), Juniper (Xenoblade Chronicles 3), Iori Minase (The iDOLM@STER), Happy (Fairy Tail), Haruka Sawamura (Yakuza/Ryu ga Gotoku series), Kiana Kaslana (Honkai Impact 3rd), Kagura (Gintama), Taiga Aisaka (Toradora!)"
81,Kurosawa Tomoyo,"Amiya, Amiya (Guard)","Miria Akagi (The iDOLM@STER Cinderella Girls), Kumiko Oumae (Hibike! Euphonium), Phosphophyllite (Land of the Lustrous), Misaki Okusawa, Michelle (BanG Dream!), Physalis (Final Fantasy Brave Exvius), Meg (Granblue Fantasy), Saya (Wandering Witch: The Journey of Elaina), Tsuki Watanabe (Love Live! Sunshine!! The School Idol Movie Over The Rainbow), Shiipon (Akiba Maid War), Mizuki Okiura (AI: The Somnium Files), Ringo (Soul Hackers 2), Rebecca (Cyberpunk: Edgerunners)"
82,Kurose Yūko,Click,"Kouko Nosa (High School Fleet), Kumakyuu (Kuma Kuma Kuma Bear)"
83,Kusunoki Taiten,Sharp,"Georg Carmine (How a Realist Hero Rebuilt the Kingdom), Ibiki Morino (Naruto), Captain Leonard Burns (Fire Force), The Black King (Drifters), Rude (Final Fantasy VII), Genichirou Sanada (The Prince of Tennis), Nagoriyuki (Guilty Gear Strive), Optimus Prime (Transformers: Robots In Disguise), Cammuravi (Xenoblade Chronicles 3), Eso (Granblue Fantasy), Andrius (Genshin Impact), Marduk (Aether Gazer)"
84,Kuwahara Yūki,Sideroca,"Tohru (Miss Kobayashi's Dragon Maid), Gareth (Fate Grand Order), Kohaku (Tsukihime), Hilda Valentine Goneril (Fire Emblem: Three Houses), Yue (Arifureta: From Commonplace to World's Strongest)"
85,Kuwashima Hōko,Eunectes,"Sango (Inuyasha), Presea Combatir (Tales of Symphonia), Seong Mina (Soul Calibur series), Petra (Granblue Fantasy), Clare (Claymore), Fuyuki Hinata (Sergeant Keroro), Hong Shurei (Saiunkoku Monogatari), Tomoyo Sakagami (Clannad), Medusa (Soul Eater), Soifon (Bleach), Isara Gunther (Valkyria Chronicle), Mavelle Froesson (Star Ocean: The First Departure), Yoshitsune (Dragalia Lost), Ries Argent (Legend of Heroes Trails in the Sky TC), Primrose Azelhart (Octopath Traveler), Celes Chere (Final Fantasy VI), Kasumi (Dead or Alive 3 onwards), Maron Kusakabe (Kamikaze Kaitou Jeanne), Flay Allster (Gundam SEED)"
86,Matsuoka Yoshitsugu,Arene,"Kazuto Kirigaya/Kirito (Sword Art Online), Soma Yukihira (Shokugeki no Soma), Law (Tales of Arise), Therion (Octopath Traveler), Flat Escardos (The Case Files of Lord El-Melloi), Lass Isolet (Grand Chase for Kakao), Fandaniel, Amon, Hermes (Final Fantasy XIV), Chat Noir, Baldr (Granblue Fantasy), Herb Cookie (Cookie Run: Kingdom), Emile, Hope (Dragalia Lost), Lee (Punishing Gray Raven), Inosuke Hashibira (Demon Slayer: Kimetsu no Yaiba), Bell Cranel (Danmachi), Sora (No Game No Life), Futaro Uesugi (The Quintessential Quintuplets), Shota Mitarai (The IDOLM@STER SideM), Xiao (Genshin Impact)"
87,Midorikawa Hikaru,"Gnosis, THRM-EX","Heero Yuy (Gundam Wing), Kaede Rukawa (Slam Dunk), Tamahome (Fushigi Yuugi), Zecilwenshe & Albert (Shadowverse), Albert, Freyr (Granblue Fantasy), Eiichi Otori (Uta no Prince Sama), Ichimoku Ren (Onmyouji), Garou (One Punch Man), Seiran Si (Saiunkoku Monogatari), Soma Cruz (Castlevania: Aria of Sorrow & Dawn of Sorrow), Zelgadis Greywords (Slayers), Firion (Final Fantasy II), Tenshinhan, Android 16 (Dragon Ball Kai onwards), Leon Magnus (Tales of Destiny), Judas (Tales of Destiny II), Fei Fong Wong (Xenogears), Tokiya Mikagami (Flame of Recca), Akihiko Sanada (Persona 3), Leonhardt (Legend of Heroes Trails in the Sky SC), Diarmuid Ua Duibhne, Red Hare (Fate series), Sakamoto (Haven't You Heard?! I'm Sakamoto), Marth (Fire Emblem)"
88,Miki Shin-ichiro,Lee,"Takumi Fujiwara (Initial D), Kojirou/James, Misty's Staryu, Brock's Zubat, Ash's Charizard (Pokémon), Gunther, The Star (Granblue Fantasy), Lucifer (Star Ocean: The Second Evolution), Sanada Yukimura (Nioh), Millenial Tree Cookie (Cookie Run: Kingdom), Blade (Honkai Star Rail), Kuhn (.hack//GU), Youji Kudou (Weiß Kreuz), Roy Mustang (Fullmetal Alchemist: Brotherhood), Urahara Kisuke (Bleach), Creed Graphite (Tales of Hearts), Rudy (Seven Knights), Zenkichi Hasegawa (Persona 5 Strikers), Lucifer (Shin Megami Tensei III: Nocturne HD Remaster and Shin Megami Tensei V), Tanjuro Kamado (Kimetsu no Yaiba), Creed Diskenth (Black Cat), Lockon Stratos (Mobile Suit Gundam 00), Aikuro Mikisugi (Kill la Kill), Deishuu Kaiki (Monogatari Series), Teacher (Reincarnated as a Sword), Paracelsus von Hohenheim, Sasaki Kojiro, Leonidas I, Fionn mac Cumhaill (Fate series), Randolph Orlando (The Legend of Heroes: Trails from Zero and Trails to Azure)"
89,Mimori Suzuko,Fartooth,"Hikari Kagura (Shoujo Kageki Revue Starlight), Umi Sonoda (Love Live!), Sherlock Shellingford (Milky Holmes), Galleon (Granblue Fantasy), Female Lord (Lord of Heroes), Ezo Red Fox (Kemono Friends), Melissa (Shadowverse), M1A1 and Type 92 (Girls' Frontline), Hiyoko Saionji (Super Danganronpa 2), Kokomi Sangonomiya (Genshin Impact), Kafka and Michael (Alchemy Stars)"
90,Minagawa Junko,"Bison, Catapult","Mereoleona Vermillion (Black Clover), Cornelia li Britannia, Shin Hyuga (Code Geass), Xiao (Darker than Black), Yun (Akatsuki no Yona), Haruka Tenoh/Sailor Uranus (Sailor Moon Crystal), Ada Wong (Resident Evil series), Khamsin Nbh'w (Shakugan no Shana), Ryoma Echizen (Prince of Tennis), Loki (Bayonetta 2), Incarose (Tales of Hearts), Cosmos (Granblue Fantasy), Ayaka Yukihiro (Negima & UQ Holder), Wazy Hemisphere (The Legend of Heroes: Trails from Zero and Trails to Azure), Young Jamil (Magi: Labyrinth of Magic), Nagi/Uzuko (Akiba Maid War), Xingqiu (Genshin Impact)"
91,Minase Inori,Archetto,"Itsuki Nakano (The Quintessential Quintuplets), Rem (Re:Zero), Laxi (Dragalia Lost), Aenea & Dionne (Shadowverse), Thillelille (Another Eden), Reines El-Melloi Archisorte, Sima Yi (Fate series), Dark Feena (Final Fantasy Brave Exvius), Rien (Gran Saga), Agnea Bristarni (Octopath Traveler 2), Jeanne (The Case Study of Vanitas), Somali (Somali & The Forest Spirit), Tsubasa Oribe (Tokyo Mirage Sessions #FE), Iroha (Final Fantasy XI), Diantha (Granblue Fantasy), Altina Orion (The Legend of Heroes: Trails of Cold Steel), Hestia (Danmachi), Kafuu Chino (Is the Order a Rabbit?), Meteora Österreich (Re:Creators)"
92,Miyake Marie,Purestream,"Ringo Oginome (Mawaru Penguindrum), ROC Ning Hai (Azur Lane), Jade (Fire Emblem Engage), Tamaki Kasuga (Hiiro no Kakera), Nana Abe (The iDOLM@STER Cinderella Girls)"
93,Mizuhashi Kaori,"Lava, Lava the Purgatory, May","Mami Tomoe (Puella Magi Madoka Magica), Integra Hellsing (Hellsing OVA), Tio Plato (The Legend of Heroes: Trails from Zero and Trails to Azure), Shiori (InuYasha), Miss Crane (Fate Grand Order), Medusa (Shadowverse), Purple Thorn (Accel World), Minami Shimada (Baka & Test), Medusa (Granblue Fantasy), Akane Suzumiya (Rumbling Hearts), Ougi Oshino (Monogatari), Eirika (Fire Emblem Heroes), Kuki Shinobu (Genshin Impact)"
94,Mizuki Nana,Mostima,"Hinata Hyuga (Naruto), Vanessa Enoteca (Black Clover), Rebeca Streisand (Wild Arms V), Collette Brunel (Tales of Symphonia), Moka Akashiya (Rosario + Vampire), Nagao Kagetora (Fate Grand Order), Yufa (Ragnarok the Animation), Velik (TERA), Aoandon (Onmyouji), Rue (Princes Tutu), Jessica Sherawat (Resident Evil: Revelations), Claes Celestia Misuka Sansest (Final Fantasy Type 0), Saya Kisaragi (Blood-C), Rena Lanford (Star Ocean: The Second Evolution), Fate Testarossa (Magical Girl Lyrical Nanoha series), Sirenmon (Digimon Ghost Game), Utano Tadano (Uramichi Oniisan), Hannah (Manaria Friends & Granblue Fantasy), Misaki (Darker than Black), Ann Takamaki (Persona 5), Tsubasa Kazanari (Senki Zessho Symphogear)"
95,Mori Nanako,Dur-nar,"Akira Kenjo (Kirakira☆Precure A La Mode), Arlecchino (Genshin Impact), Merrin (Fire Emblem Engage), Sevia (Last Cloudia), Prince of Lanling (Fate/Grand Order), Hanako Arasaka (Cyberpunk 2077)"
96,Morikubo Showtaro,Elysium,"Shikamaru Nara (Naruto), Ginji Amano (GetBackers), Zakiel (Gran Saga), Spinnah (Granblue Fantasy), Kyouhei Takano (Yamato Nadeshiko Shichi Henge), Akaya Kirihara (The Prince of Tennis), Jak (Jak and Daxter), Ivar (Tales of Xillia & Xillia 2), Canas (Fire Emblem Heroes), Makoto Yuuki (Ensemble Stars), Ingway (Odin Sphere), Tensa Zangetsu (Bleach), Reiji Kotobuki (Uta no Prince Sama), Tetta Kisaki (Tokyo Revengers), Orphen (Sorcerous Stabber Orphen), Yosuke Hanamura (Persona 4), X, Dynamo (Mega Man X5 to X7, and Rockman X Dive), Kadaj (Final Fantasy VII: Advent Children), Miwa Taishi (Cardfight!! Vanguard)"
97,Morinaga Chitose,Bena,"Fumie Hyakuya (Seraph of the End), Umiko Ahagon (New Game!), Bradamante (Fate/Grand Order)"
98,Murakawa Rie,Absinthe,"Hotaru Ichijo (Non Non Biyori), Ram (Re:Zero), Yeon Nolbu (Gran Saga), Kagerou (Fire Emblem Fates), Escha Malier (Atelier Escha & Logy: Alchemists of the Dusk Sky), Melina (Another Eden), Shoebill (Kemono Friends), Akino Toudou (Princess Connect Re:Dive), Alisaie Leveilleur (Final Fantasy XIV), Najimi Osana (Komi-san Wa Komyushou Desu)"
99,Muranaka Tomo,Wild Mane,"Gau (Final Fantasy VI), Mora (Brave Frontier ReXona), Aki Yamato (iDOLM@STER Cinderella Girls)"
100,Murase Ayumu,Mizuki,"Shoyo Hinata (Haikyuu!!), Venti (Genshin Impact), Cartaphilius (The Ancient Magus' Bride), Hal, Ulamnuran (Granblue Fantasy), Old Child (Servamp), Setanta (Fate Grand Order Arcade), Irfan, Nicolas (Dragalia Lost), Leonard Wright Jr. (Helios Rising Heroes), Ungaikyou (Onmyouji), Kanon Himeno (The Idolmaster SideM), Astolfo Granatum (The Case Study of Vanitas), Iruma Suzuki (Welcome to Demon School Iruma-kun), Ryo Asuka (Devilman Crybaby), Ginro (Dr. Stone), Corvin/Kamuya (Xenoblade Chronicles 2), Soren and Gordin (Fire Emblem Heroes)"
